# Time-averaged data for fix writeFile
# TimeStep c_Tw c_Pw c_Kw c_wallTemp c_wallPE
6000000 289.926 -159393 13481.4 288.332 -384372
6001000 290.084 -159389 13488.4 284.355 -384338
6002000 287.593 -159302 13372.7 293.551 -384408
6003000 289.813 -159419 13475.8 287.968 -384353
6004000 288.443 -159307 13412.5 290.383 -384423
6005000 292.256 -159466 13589.7 286.922 -384377
6006000 290.298 -159401 13499.6 293.959 -384423
6007000 291.288 -159454 13545.3 290.252 -384401
6008000 290.011 -159371 13485.1 289.93 -384383
6009000 293.371 -159490 13641.9 287.535 -384393
6010000 291.396 -159459 13549.9 290.401 -384356
6011000 291.709 -159460 13565.1 294.707 -384413
6012000 291.937 -159463 13574.4 289.762 -384386
6013000 292.676 -159536 13609.4 287.101 -384338
6014000 293.423 -159601 13644 292.124 -384368
6015000 289.711 -159428 13471.7 289.697 -384375
6016000 288.283 -159363 13404.8 291.132 -384403
6017000 290.419 -159479 13504 291.973 -384393
6018000 291.714 -159546 13564.5 292.696 -384397
6019000 289.877 -159479 13478.8 287.825 -384364
6020000 291.695 -159579 13563.4 290.981 -384390
6021000 289.515 -159481 13462.4 289.944 -384383
6022000 289.945 -159523 13482.3 290.102 -384367
6023000 289.291 -159501 13451.6 293.016 -384426
6024000 288.992 -159473 13437.8 288.396 -384377
6025000 290.752 -159533 13519.8 287.542 -384368
6026000 290.272 -159531 13498 286.963 -384329
6027000 291.334 -159526 13547.7 291.565 -384431
6028000 290.887 -159537 13526.2 288.004 -384366
6029000 291.921 -159552 13574.1 285.063 -384361
6030000 290.002 -159473 13485 292.864 -384400
6031000 290.792 -159518 13521.5 291.371 -384403
6032000 291.855 -159576 13571 284.976 -384335
6033000 289.215 -159451 13448.2 290.437 -384389
6034000 291.305 -159545 13545.3 289.178 -384372
6035000 290.254 -159442 13496.3 287.896 -384398
6036000 293.235 -159599 13635.3 282.824 -384330
6037000 289.358 -159478 13454.6 290.416 -384378
6038000 288.586 -159427 13418.7 293.005 -384426
6039000 289.172 -159413 13445.9 285.77 -384394
6040000 292.719 -159536 13611 287.153 -384387
6041000 292.99 -159572 13623.5 299.474 -384471
6042000 289.77 -159437 13473.8 295.022 -384419
6043000 290.785 -159467 13521.1 293.36 -384416
6044000 290.931 -159450 13527.7 292.93 -384428
6045000 291.169 -159429 13538.8 287.636 -384387
6046000 292.143 -159477 13584.3 288.818 -384399
6047000 289.369 -159362 13455.2 291.744 -384400
