# Time-averaged data for fix writeFile
# TimeStep c_Tw c_Pw c_Kw c_wallTemp c_wallPE
5500000 234.81 -164814 10918.2 234.127 -384903
5501000 256.282 -164121 12624.7 238.069 -384940
5502000 253.196 -163718 13969.5 238.07 -384898
5503000 241.412 -163637 15414.4 237.266 -384910
5504000 239.385 -163440 15065.5 233.29 -384912
5505000 236.407 -162951 13839.4 227.817 -384850
5506000 240.045 -162811 12878.5 234.437 -384924
5507000 245.179 -162965 12281.1 233.093 -384899
5508000 246.637 -163076 11873.3 234.213 -384903
5509000 247.704 -163201 11686.3 232.445 -384885
5510000 249.081 -163410 11637.2 239.275 -384913
5511000 248.392 -163412 11573.5 236.467 -384903
5512000 251.49 -163569 11698.3 234.265 -384911
5513000 247.818 -163416 11528.5 234.39 -384917
5514000 247.328 -163396 11540.8 237.662 -384940
5515000 249.018 -163473 11732.8 238.649 -384934
5516000 246.773 -163376 11811.2 238.799 -384926
5517000 246.972 -163375 12065 233.514 -384915
5518000 244.434 -163259 12274.6 235.437 -384933
5519000 248.925 -163468 12814 235.238 -384943
5520000 248.02 -163417 13118.2 232.218 -384929
5521000 248.188 -163504 13436 234.659 -384912
5522000 246.998 -163454 13565.7 232.911 -384897
5523000 248.005 -163520 13744.2 233.879 -384925
5524000 247.146 -163555 13786.8 235.354 -384903
5525000 248.244 -163621 13815.2 239.895 -384966
5526000 245.573 -163518 13685.5 233.997 -384909
5527000 247.07 -163556 13634.8 234.271 -384912
5528000 247.683 -163582 13514.4 232.511 -384902
5529000 247.421 -163610 13247.7 230.044 -384878
5530000 249.403 -163730 13059.8 239.37 -384951
5531000 248.031 -163630 12766.5 234.682 -384950
5532000 247.971 -163614 12506.9 232.742 -384922
5533000 248.275 -163660 12241.1 234.045 -384910
5534000 246.389 -163558 11880.7 232.467 -384906
5535000 247.208 -163642 11730.8 234.566 -384898
5536000 247.018 -163633 11567.6 232.871 -384910
5537000 245.283 -163571 11413.8 232.285 -384912
5538000 246.495 -163629 11470.3 233.842 -384930
5539000 245.412 -163601 11505.1 232.93 -384933
5540000 244.527 -163559 11569.4 232.449 -384933
5541000 243.86 -163590 11716.1 235.781 -384903
5542000 246.387 -163679 12030 233.938 -384929
5543000 245.125 -163660 12244.5 238.307 -384943
5544000 246.977 -163763 12683.4 235.995 -384928
5545000 244.297 -163635 12897.1 234.48 -384930
5546000 244.789 -163711 13205.2 231.422 -384896
5547000 243.61 -163643 13268.2 233.825 -384946
5548000 244.717 -163690 13444.1 234.593 -384952
5549000 240.744 -163522 13321 235.387 -384943
5550000 244.111 -163690 13607.6 235.718 -384941
5551000 243.265 -163690 13565.9 237.09 -384934
5552000 244.133 -163746 13554.6 231.133 -384883
5553000 241.683 -163615 13320.5 228.044 -384877
5554000 241.213 -163609 13032.8 237.502 -384941
5555000 242.281 -163637 12818.2 235.565 -384951
5556000 243.103 -163674 12545.6 233.358 -384907
5557000 243.261 -163687 12269 231.086 -384888
5558000 243.086 -163679 11968.1 231.603 -384897
5559000 245.386 -163783 11831.1 234.083 -384918
5560000 242.873 -163658 11519.3 235.953 -384951
5561000 242.91 -163701 11382.7 234.455 -384905
5562000 242.061 -163629 11270.4 233.956 -384930
5563000 243.772 -163731 11339.3 235.525 -384929
5564000 243.485 -163727 11384.2 235.232 -384930
5565000 244.679 -163748 11564.3 234.36 -384950
5566000 246.059 -163805 11815.2 232.223 -384923
5567000 244.766 -163789 11984.6 229.791 -384881
5568000 243.684 -163731 12238.2 230.03 -384892
5569000 243.341 -163730 12583.7 233.054 -384905
5570000 243.773 -163762 12862.2 233.406 -384934
5571000 245.48 -163853 13278.7 234.917 -384930
5572000 243.718 -163813 13444.3 230.564 -384881
5573000 244.509 -163862 13593.5 237.403 -384942
5574000 244.848 -163889 13684.1 238.313 -384955
5575000 245.756 -163918 13698.6 231.368 -384925
5576000 244.33 -163868 13657.3 235.57 -384936
5577000 246.406 -163967 13591 234.766 -384928
5578000 245.058 -163893 13360.7 231.983 -384924
