binRange along x axis (ANG)	 density (g/L)	 temperature (K)
0.05	7.91166	178.599
0.15	268.996	233.558
0.25	2798.65	235.246
0.35	8232.29	233.902
0.45	9660.13	232.634
0.55	5970.39	235.191
0.65	2365.17	232.746
0.75	735.368	228.087
0.85	191.962	237.636
0.95	33.7286	212.169
1.05	12.9085	205.717
1.15	2.08202	284.058
1.25	1.24921	285.364
1.35	0	0
1.45	0	0
1.55	0	0
1.65	0	0
1.75	0	0
1.85	0	0
1.95	0	0
2.05	0	0
2.15	0	0
2.25	0	0
2.35	0	0
2.45	0	0
2.55	0	0
2.65	4.99684	246.933
2.75	49.1356	247.895
2.85	276.075	229.887
2.95	1053.5	231.578
3.05	2376.41	234.388
3.15	3723.89	236.024
3.25	4377.23	231.874
3.35	4380.56	233.473
3.45	3751.38	234.301
3.55	3008.1	234.501
3.65	2282.31	231.947
3.75	1715.58	240.062
3.85	1168.43	235.917
3.95	810.32	233.666
4.05	512.176	239.449
4.15	311.886	222.22
4.25	191.545	230.047
4.35	114.927	242.881
4.45	71.2049	230.936
4.55	34.5615	189.671
4.65	30.8138	239.222
4.75	18.7381	252.574
4.85	14.9905	224.604
4.95	9.16087	256.45
5.05	17.4889	208.3
5.15	19.1545	192.345
5.25	34.5615	243.3
5.35	54.1324	253.581
5.45	72.0377	219.613
5.55	141.161	222.908
5.65	285.236	241.048
5.75	518.005	231.697
5.85	927.746	229.547
5.95	1377.04	232.643
6.05	1891.72	235.82
6.15	2387.24	235.571
6.25	2611.26	234.019
6.35	2594.61	232.334
6.45	2278.97	231.276
6.55	1840.5	231.907
6.65	1522.37	233.536
6.75	1250.04	230.964
6.85	1063.91	235.305
6.95	974.8	231.62
7.05	918.585	232.567
7.15	952.314	237
7.25	971.885	232.418
7.35	1028.52	239.715
7.45	1048.92	235.075
7.55	1044.34	240.886
7.65	1046.84	236.578
7.75	945.235	229.073
7.85	891.519	239.57
7.95	851.961	234.412
8.05	742.447	230.64
8.15	697.892	239.732
8.25	617.109	229.138
8.35	605.034	234.94
8.45	590.876	231.285
8.55	539.242	233.976
8.65	540.491	234.488
8.75	592.125	230.028
8.85	623.355	224.751
8.95	731.62	230.967
9.05	794.081	235.166
9.15	881.109	235.094
9.25	1010.19	236.524
9.35	1083.06	235.165
9.45	1151.35	233.486
9.55	1262.12	239.577
9.65	1329.58	230.202
9.75	1414.1	231.381
9.85	1413.69	237.952
9.95	1395.37	233.497
10.05	1347.06	230.109
10.15	1373.71	232.159
10.25	1302.09	235.926
10.35	1162.18	236.47
10.45	1141.36	241.117
10.55	1120.96	231.226
10.65	1033.51	233.337
10.75	1018.52	228.83
10.85	1008.11	237.988
10.95	926.913	232.251
11.05	915.67	239.218
11.15	936.491	235.737
11.25	911.09	232.308
11.35	889.021	235.494
11.45	866.118	234.603
11.55	897.765	235.114
11.65	881.525	233.932
11.75	865.286	227.578
11.85	862.371	245.084
11.95	881.942	238.609
12.05	917.336	233.317
12.15	873.197	233.818
12.25	886.522	238.51
12.35	944.819	232.266
12.45	951.481	228.252
12.55	952.314	228.935
12.65	996.869	233.34
12.75	990.623	234.533
12.85	1056.83	234.086
12.95	1042.26	231.994
13.05	1049.34	233.711
13.15	1112.63	238.15
13.25	1129.7	236.471
13.35	1102.64	230.251
