binRange along x axis (ANG)	 density (g/L)	 temperature (K)
0.05	7.07885	254.892
0.15	281.072	246.421
0.25	2830.29	238.096
0.35	8067.39	235.127
0.45	9654.31	237.868
0.55	5997.04	231.162
0.65	2409.31	238.356
0.75	773.677	234.646
0.85	201.123	233.956
0.95	44.5551	250.573
1.05	11.6593	228.565
1.15	3.33122	162.816
1.25	0	0
1.35	0	0
1.45	0	0
1.55	0	0
1.65	0	0
1.75	0	0
1.85	0	0
1.95	0	0
2.05	0	0
2.15	0	0
2.25	0	0
2.35	0	0
2.45	0	0
2.55	0.416403	103.05
2.65	7.49526	234.157
2.75	45.3879	217.28
2.85	293.564	238.023
2.95	1036.01	237.398
3.05	2406.39	233.104
3.15	3717.23	236.695
3.25	4403.88	237.006
3.35	4243.15	234.946
3.45	3739.3	234.928
3.55	3033.91	235.739
3.65	2370.58	236.409
3.75	1681.85	235.898
3.85	1218.4	230.364
3.95	799.494	243.664
4.05	488.024	231.778
4.15	324.794	227.469
4.25	187.798	232.919
4.35	110.347	223.795
4.45	64.9589	256.702
4.55	44.1387	253.657
4.65	25.817	272.778
4.75	15.4069	192.056
4.85	12.9085	294.941
4.95	10.8265	270.708
5.05	12.0757	231.487
5.15	21.2366	245.899
5.25	27.0662	238.134
5.35	36.6435	228.346
5.45	73.2869	231.81
5.55	146.574	220.742
5.65	279.823	230.944
5.75	473.034	249.153
5.85	815.317	236.099
5.95	1354.98	241.151
6.05	1945.85	236.72
6.15	2357.26	236.6
6.25	2578.78	236.912
6.35	2529.65	239.708
6.45	2258.57	237.511
6.55	1920.45	231.661
6.65	1551.93	239.581
6.75	1236.3	234.793
6.85	1033.51	238.918
6.95	979.796	237.306
7.05	961.475	242.584
7.15	919.418	236.027
7.25	974.383	238.877
7.35	1011.86	236.076
7.45	1052.67	242.698
7.55	1031.85	239.845
7.65	1009.78	231.243
7.75	1006.86	229.637
7.85	897.349	244.811
7.95	786.169	238.098
8.05	786.585	236.991
8.15	652.92	229.65
8.25	624.605	228.549
8.35	574.22	236.31
8.45	529.665	234.014
8.55	545.488	236.971
8.65	504.681	239.224
8.75	534.662	236.296
8.85	591.292	227.83
8.95	677.488	238.42
9.05	797.828	236.24
9.15	886.522	241.787
9.25	1023.1	239.169
9.35	1048.09	236.27
9.45	1217.98	236.468
9.55	1246.71	235.231
9.65	1295.85	238.52
9.75	1370.8	239.276
9.85	1398.28	227.146
9.95	1412.86	236.367
10.05	1415.35	239.212
10.15	1280.02	233.691
10.25	1267.95	237.806
10.35	1195.91	237.26
10.45	1119.29	236.342
10.55	1070.16	244.016
10.65	1080.57	239.504
10.75	1044.76	240.321
10.85	949.399	230.86
10.95	968.554	240.852
11.05	919.002	232.423
11.15	901.513	234.353
11.25	914.005	235.592
11.35	901.513	238.899
11.45	907.342	239.69
11.55	854.459	235.803
11.65	852.793	237.245
11.75	853.626	236.604
11.85	851.544	236.158
11.95	895.267	236.868
12.05	890.27	242.997
12.15	878.61	232.058
12.25	879.027	227.961
12.35	915.67	232.964
12.45	920.251	234.945
12.55	953.563	235.1
12.65	957.311	239.597
12.75	980.213	240.423
12.85	1006.45	239.17
12.95	1036.01	243.812
13.05	1033.93	239.774
13.15	1073.49	239.788
13.25	1132.2	241.926
13.35	1114.29	235.844
13.45	1094.72	239.665
13.55	1086.4	240.785
13.65	1104.3	242.091
13.75	1105.55	232.766
13.85	1075.15	238.476
13.95	1080.15	236.899
14.05	1068.07	237.051
14.15	1035.59	237.087
14.25	1034.35	237.701
14.35	1043.09	234.877
14.45	997.702	235.579
14.55	988.124	234.924
14.65	963.973	229.417
14.75	976.465	235.225
14.85	970.636	226.479
14.95	941.487	230.684
15.05	951.481	232.707
15.15	938.573	225.834
15.25	983.544	236.561
15.35	933.992	233.916
15.45	948.15	239.646
15.55	940.238	230.634
15.65	992.705	241.687
15.75	941.071	240.701
15.85	976.049	232.783
15.95	985.626	228.749
16.05	971.468	239.394
16.15	1008.94	240.065
16.25	989.79	231.2
16.35	1005.61	233.301
16.45	1028.52	237.16
16.55	1003.95	235.861
16.65	1053.08	234.973
16.75	1039.34	238.086
16.85	1032.68	233.12
16.95	1027.68	234.472
17.05	1007.28	236.024
17.15	1024.35	238.043
17.25	1012.69	238.268
17.35	1023.52	234.433
17.45	1056.41	234.069
17.55	1071.41	234.569
17.65	1010.61	241.172
17.75	995.203	231.104
17.85	1002.28	237.4
17.95	999.784	236.301
18.05	998.535	233.101
18.15	989.374	237.569
18.25	991.456	235.541
18.35	992.705	237.052
18.45	968.97	242.38
18.55	991.456	240.416
18.65	1036.43	239.531
18.75	991.456	234.247
18.85	987.708	232.54
18.95	997.702	233.283
19.05	969.803	234.868
19.15	980.213	237.735
19.25	987.292	235.251
19.35	994.787	237.957
19.45	1006.45	247.932
19.55	1003.95	237.555
19.65	964.806	238.807
19.75	992.705	234.109
19.85	1010.19	238.997
19.95	1023.52	234.552
20.05	986.459	241.128
20.15	1006.86	239.688
20.25	968.554	236.379
20.35	1038.93	230.559
20.45	1017.69	237.129
20.55	1038.93	237.097
20.65	1001.87	236.059
20.75	994.787	243.05
20.85	1002.7	240.82
20.95	1036.01	235.018
21.05	1041.84	233.246
21.15	1048.92	238.692
21.25	984.377	234.082
21.35	1021.02	223.871
21.45	996.036	241.058
21.55	988.124	237.49
21.65	984.793	237.408
21.75	995.62	242.157
21.85	973.55	237.258
21.95	1014.77	228.886
22.05	1011.86	239.004
22.15	965.639	244.423
22.25	994.371	233.276
22.35	1034.35	228.137
22.45	1001.03	236.037
22.55	996.869	236.011
22.65	1008.11	237.473
22.75	981.878	242.264
22.85	1006.03	228.001
22.95	1020.19	230.762
23.05	978.131	242.485
23.15	1015.19	240.197
23.25	991.456	241.484
23.35	1000.2	241.738
23.45	1020.19	240.77
23.55	1032.26	229.017
23.65	996.453	236.637
23.75	965.639	233.305
23.85	998.951	238.442
23.95	985.626	234.921
24.05	1004.36	233.552
24.15	1000.2	237.581
24.25	983.128	239.382
24.35	992.705	239.151
24.45	999.367	237.932
24.55	1031.01	234.108
24.65	1050.58	236.476
24.75	1039.34	234.305
24.85	1034.76	236.849
24.95	991.872	237.083
25.05	1000.2	229.696
25.15	970.636	235.337
25.25	1017.69	238.245
25.35	977.714	237.763
25.45	993.538	234.55
25.55	989.374	241.005
25.65	1026.02	233.548
25.75	1003.53	231.961
25.85	969.803	239.809
25.95	986.459	233.711
26.05	1009.36	242.553
26.15	981.046	232.216
26.25	994.371	228.319
26.35	1040.17	235.114
26.45	953.147	240.52
26.55	1032.68	233.209
26.65	1009.78	244.988
26.75	981.046	237.604
26.85	1028.1	239.619
26.95	1016.44	241.395
27.05	1000.62	235.732
27.15	996.453	235.155
27.25	997.702	237.256
27.35	986.459	246.178
27.45	982.295	233.962
27.55	1021.02	241.085
27.65	1009.78	232.932
27.75	995.62	236.497
27.85	1026.85	239.811
27.95	1010.61	231.148
28.05	988.541	239.395
28.15	1031.85	233.604
28.25	1006.86	237.234
28.35	988.124	236.245
28.45	993.538	237.693
28.55	1002.28	235.125
28.65	991.456	232.317
28.75	1016.02	235.376
28.85	987.708	241.567
28.95	991.456	240.409
29.05	1007.7	242.75
29.15	1018.94	236.89
29.25	1000.2	241.252
29.35	998.951	232.766
29.45	992.289	234.808
29.55	986.875	238.98
29.65	963.973	234.982
29.75	1021.44	232.182
29.85	973.55	238.949
29.95	998.118	236.469
30.05	1026.02	239.076
30.15	973.967	242.226
30.25	1026.02	234.741
30.35	997.285	231.632
30.45	1008.11	235.923
30.55	1024.77	243.334
30.65	993.538	236.232
30.75	1025.18	238.184
30.85	1027.68	234.5
30.95	1012.69	233.135
31.05	1003.95	237.115
31.15	997.702	239.291
31.25	997.285	237.159
31.35	1027.27	230.58
31.45	1001.87	237.139
31.55	965.222	233.241
31.65	983.96	233.449
31.75	1035.59	236.016
31.85	996.453	230.921
31.95	978.547	236.642
32.05	1027.27	239.506
32.15	993.121	244.344
32.25	1000.62	235.465
32.35	998.535	229.209
32.45	1009.36	237.58
32.55	1023.94	234.206
32.65	993.538	233.676
32.75	1007.28	238.155
32.85	987.708	236.064
32.95	1002.7	233.511
33.05	965.639	237.869
33.15	1026.43	231.988
33.25	993.954	239.405
33.35	1008.11	234.56
33.45	1036.84	238.315
33.55	995.62	234.765
33.65	995.203	238.165
33.75	1024.35	236.028
33.85	956.894	239.716
33.95	1008.53	239.001
34.05	1015.61	235.345
34.15	1014.36	243.958
34.25	1008.11	236.651
34.35	989.374	235.903
34.45	981.046	244.146
34.55	988.124	234.493
34.65	1027.68	236.063
34.75	1003.11	238.454
34.85	1000.2	230.331
34.95	995.203	237.867
35.05	1011.44	236.049
35.15	1031.01	232.391
35.25	1008.53	245.265
35.35	1009.78	230.482
35.45	992.705	236.514
35.55	978.964	237.811
35.65	988.124	234.317
35.75	995.203	237.763
35.85	1004.78	238.298
35.95	998.118	239.009
36.05	997.285	236.101
36.15	994.787	234.495
36.25	1023.1	238.581
36.35	1016.44	242.909
36.45	993.538	241.859
36.55	1037.68	229.611
36.65	993.121	230.437
36.75	1013.94	235.669
36.85	984.377	237.844
36.95	1023.94	233.249
37.05	992.705	238.096
37.15	998.951	231.998
37.25	1002.7	238.141
37.35	998.951	235.382
37.45	1002.7	228.333
37.55	996.869	240.624
37.65	975.632	230.188
37.75	1001.03	239.163
37.85	1034.76	232.382
37.95	985.626	234.67
38.05	1037.68	238.344
38.15	1007.7	242.166
38.25	972.301	240.786
38.35	989.79	242.364
38.45	968.97	231.014
38.55	1002.7	237.741
38.65	1051.83	234.738
38.75	980.629	234.891
38.85	1021.02	245.236
38.95	987.708	235.976
39.05	1013.94	237.523
39.15	1003.53	240.417
39.25	996.453	235.745
39.35	1014.77	235.498
39.45	1044.34	235.964
39.55	992.289	235.638
39.65	964.806	240.453
39.75	1022.27	234.915
39.85	995.203	236.955
39.95	985.21	237.276
40.05	982.711	237.141
40.15	983.128	235.783
40.25	1016.86	234.189
40.35	1014.77	244.048
40.45	1017.69	236.619
40.55	1012.69	233.88
40.65	1003.53	227.655
40.75	978.131	233.497
40.85	1021.44	235.059
40.95	972.301	236.092
41.05	1028.93	234.054
41.15	979.796	235.739
41.25	979.38	239.33
41.35	1007.7	238.829
41.45	994.371	240.864
41.55	1006.03	235.162
41.65	1043.09	230.741
41.75	1018.94	235.853
41.85	1019.35	239.94
41.95	1018.94	233.93
42.05	980.213	242.591
42.15	986.042	235.004
42.25	1013.53	235.905
42.35	1008.11	243.833
42.45	978.547	229.609
42.55	1006.86	236.135
42.65	1000.2	232.344
42.75	970.219	235.685
42.85	997.702	237.133
42.95	1009.78	236.778
43.05	1044.34	228.892
43.15	993.538	233.986
43.25	986.459	226.769
43.35	1003.53	234.651
43.45	991.039	238.003
43.55	1010.61	238.606
43.65	1031.01	234.54
43.75	1006.45	237.889
43.85	975.632	243.221
43.95	991.456	237.64
44.05	989.374	235.356
44.15	1012.28	235.952
44.25	1003.53	235.183
44.35	1000.62	235.073
44.45	1057.25	236.514
44.55	1005.61	240.276
44.65	965.222	234.107
44.75	977.714	237.863
44.85	979.38	238.584
44.95	999.784	233.551
45.05	1029.76	230.932
45.15	1016.44	235.207
45.25	1021.02	237.752
45.35	996.869	228.988
45.45	1012.28	240.236
45.55	986.875	237.501
45.65	1028.93	241.925
45.75	990.207	230.762
45.85	1008.94	230.446
45.95	1007.28	240.155
46.05	980.213	233.977
46.15	1007.28	239.24
46.25	1003.95	232.888
46.35	1005.61	234.129
46.45	930.661	233.925
46.55	994.371	239.852
46.65	1016.44	233.699
46.75	1001.87	238.299
46.85	1006.45	239.551
46.95	1011.44	241.157
47.05	1003.95	234.55
47.15	1063.08	235.505
47.25	1015.19	223.623
47.35	972.718	241.253
47.45	1010.61	235.682
47.55	991.039	236.148
47.65	1004.36	237.875
47.75	1006.86	234.439
47.85	993.538	242.535
47.95	997.285	242.153
48.05	1015.61	235.044
48.15	1011.44	235.305
48.25	1009.78	243.632
48.35	991.039	237.954
48.45	1030.6	231.085
48.55	1008.53	233.72
48.65	1000.62	242.849
48.75	955.229	247.341
48.85	998.118	235.674
48.95	1001.87	225.37
49.05	1013.94	237.006
49.15	996.869	233.435
49.25	976.465	238.78
49.35	971.052	242.441
49.45	998.535	235.983
49.55	984.377	231.558
49.65	991.039	235.452
49.75	1018.52	234.813
49.85	1053.08	240.806
49.95	1030.18	241.405
50.05	1039.34	237.98
50.15	998.118	240.321
50.25	982.295	228.7
50.35	1005.2	235.729
50.45	976.049	235.547
50.55	1005.2	241.917
50.65	988.541	239.05
50.75	1017.69	234.013
50.85	1019.35	234.292
50.95	988.124	234.359
51.05	1016.44	239.651
51.15	1008.11	235.1
51.25	992.289	236.101
51.35	955.645	231.789
51.45	995.62	236.95
51.55	1038.51	238.127
51.65	1010.19	240.336
51.75	982.295	236.767
51.85	1027.68	238.123
51.95	982.711	231.899
52.05	1011.03	236.364
52.15	998.535	232.458
52.25	999.367	238.522
52.35	1015.61	240.826
52.45	1026.02	236.473
52.55	986.042	229.924
52.65	981.046	239.123
52.75	992.289	243.411
52.85	1037.68	235.671
52.95	996.036	234.014
53.05	972.718	236.788
53.15	1001.03	232.579
53.25	975.632	245.996
53.35	1017.27	235.999
53.45	986.875	233.88
53.55	999.367	233.779
53.65	1032.68	235.658
53.75	1021.44	246.106
53.85	1018.52	237.286
53.95	990.623	235.995
54.05	1018.11	242.266
54.15	1029.76	235.961
54.25	993.538	234.908
54.35	1031.01	232.517
54.45	1007.7	227.449
54.55	986.042	238.137
54.65	975.632	232.316
54.75	1021.44	233.033
54.85	1020.6	238.168
54.95	1018.52	249.03
55.05	971.885	233.237
55.15	985.21	234.23
55.25	992.289	235.498
55.35	1006.03	240.29
55.45	995.62	239.454
55.55	981.878	234.716
55.65	1028.52	242.632
55.75	1033.51	238.44
55.85	985.626	235.762
55.95	1008.11	226.192
56.05	990.623	240.669
56.15	1028.93	234.416
56.25	974.383	234.093
56.35	991.039	235.045
56.45	991.456	243.285
56.55	988.541	240.638
56.65	986.459	241.86
56.75	1000.62	230.829
56.85	1025.18	241.688
56.95	1053.08	236.402
57.05	995.203	233.175
57.15	994.787	232.262
57.25	997.285	237.634
57.35	974.383	228.779
57.45	987.708	234.477
57.55	983.128	239.184
57.65	989.79	241.169
57.75	978.131	241.885
57.85	1003.11	235.841
57.95	1005.61	233.362
58.05	1002.7	237.777
58.15	1028.52	237.878
58.25	1006.03	235.973
58.35	1011.86	236.844
58.45	1021.02	235.756
58.55	1023.52	238.149
58.65	1018.11	232.73
58.75	1007.7	239.978
58.85	1017.69	240.437
58.95	1029.76	234.886
59.05	991.872	233.285
59.15	991.039	240.364
59.25	1020.19	237.464
59.35	971.885	237.527
59.45	993.121	234.311
59.55	1000.62	235.171
59.65	1017.69	241.325
59.75	1045.17	243.172
59.85	995.62	245.245
59.95	1042.67	230.21
60.05	1020.19	237.604
60.15	1001.03	238.957
60.25	991.456	235.43
60.35	1028.52	241.981
60.45	1038.51	237.606
60.55	1049.34	236.631
60.65	1015.61	241.287
60.75	997.285	239.79
60.85	1015.61	239.269
60.95	1008.11	241.027
61.05	1004.36	236.55
61.15	1015.19	236.479
61.25	985.21	231.213
61.35	1048.09	239.169
61.45	1004.36	240.173
61.55	1008.11	237.381
61.65	1011.86	241.862
61.75	987.292	232.72
61.85	985.21	240.262
61.95	964.39	238.288
62.05	985.21	236.821
62.15	1010.19	237.141
62.25	1006.45	233.691
62.35	1013.11	237.412
62.45	960.642	238.165
62.55	978.964	231.906
62.65	952.314	239.623
62.75	919.834	236.345
62.85	949.815	237.906
62.95	904.844	234.709
63.05	904.844	235.749
63.15	868.2	235.266
63.25	864.869	239.672
63.35	824.894	236.739
63.45	762.434	236.52
63.55	800.327	240.141
63.65	737.866	239.343
63.75	708.718	231.045
63.85	698.308	238.77
63.95	635.015	244.115
64.05	617.942	237.151
64.15	561.311	233.131
64.25	542.99	241.355
64.35	495.936	228.659
64.45	503.015	241.282
64.55	460.958	234.948
64.65	435.974	234.724
64.75	392.252	240.931
64.85	363.936	238.706
64.95	326.46	255.901
65.05	283.57	242.209
65.15	276.908	231.736
65.25	241.93	230.095
65.35	215.28	251.646
65.45	196.542	233.173
65.55	182.801	234.678
65.65	146.99	252.987
65.75	145.325	248.548
65.85	122.006	230.254
65.95	97.0219	246.854
