y, z, Average_Vx, Average_Vy, Average_Vz, AtomCount
0.498383 0.499866 -0.000429125 -0.000155424 -0.000654636 19.0667
1.49515 0.499866 -0.00108289 0.000517973 0.00104304 12.0422
2.49192 0.499866 -0.000169765 0.000837276 -0.000531778 23.0808
3.48868 0.499866 -0.000592186 -0.000107606 7.80544e-05 12.5439
4.48545 0.499866 -0.000512247 0.0017359 0.000182211 11.0386
5.48221 0.499866 -0.00106201 -0.000730287 -1.86163e-05 7.52634
6.47898 0.499866 -0.000916672 0.000234199 -0.000933859 8.0281
7.47575 0.499866 -1.13427e-05 -0.000339388 -0.0001966 13.0457
8.47251 0.499866 0.000713392 0.00013166 -0.00128084 18.0632
9.46928 0.499866 -0.000225544 -0.000587381 -0.000965591 9.53337
10.466 0.499866 -0.000326101 0.000716716 -0.00110279 11.0386
11.4628 0.499866 -0.000186802 -0.000189459 -0.0010331 16.558
12.4596 0.499866 0.000974467 -0.000209736 0.000360112 8.0281
13.4563 0.499866 0.000821726 -0.000160508 -0.000593958 11.5404
14.4531 0.499866 7.74511e-05 0.000787414 -0.000221176 6.52283
15.4499 0.499866 0.000889362 -0.0008118 -0.000909424 10.5369
16.4466 0.499866 -0.000406803 0.000372354 2.4996e-05 20.572
17.4434 0.499866 -0.000535741 -0.000102261 -0.000615093 10.0351
18.4402 0.499866 0.000148389 -0.000139337 -0.000470998 6.52283
19.4369 0.499866 0.000336905 0.000594642 -0.000633288 16.558
20.4337 0.499866 -0.000157849 0.000566779 -7.03085e-05 11.0386
21.4305 0.499866 -0.000456345 -0.00113749 0.000266031 7.02459
22.4272 0.499866 -0.0010865 -0.000783995 -0.000407265 7.02459
23.424 0.499866 0.000389715 -0.000730375 -0.000427134 7.52634
24.4208 0.499866 0.000477429 0.000759298 0.000442045 22.0773
25.4175 0.499866 6.37236e-05 0.000605146 2.60713e-05 16.0562
26.4143 0.499866 -0.000659093 -0.00110048 -0.00116726 7.52634
27.4111 0.499866 0.000252601 0.000105698 -2.44756e-05 22.0773
28.4078 0.499866 0.00075608 0.000374924 -0.000770019 15.0527
29.4046 0.499866 0.000291806 -0.00132665 -0.00132944 5.51932
30.4014 0.499866 0.000229061 -0.000832909 -0.00135129 9.03161
31.3981 0.499866 0.000650526 -0.00148783 0.000508869 7.52634
32.3949 0.499866 -0.000122898 0.000726321 -0.000214547 17.0597
33.3917 0.499866 -5.78193e-05 -1.5065e-05 -0.000834298 16.0562
34.3884 0.499866 0.000192771 0.00172536 -0.00106553 7.52634
35.3852 0.499866 0.000318855 0.000117446 -0.000505681 16.0562
36.382 0.499866 0.00137515 -0.000173015 0.000207995 13.0457
37.3787 0.499866 -0.000526994 -0.000207247 0.000570152 8.0281
38.3755 0.499866 0.000263501 -0.000114097 0.000145795 8.52986
39.3723 0.499866 -0.0012855 -0.000283209 0.000315857 8.0281
40.369 0.499866 -0.000603999 -0.00143814 -8.11676e-05 12.0422
