# "Frame" "ChillPlus.counts.CUBIC_ICE" "ChillPlus.counts.HEXAGONAL_ICE"
0 15 61 
1 2 30 
2 1 29 
3 5 13 
4 2 13 
5 2 15 
6 2 15 
7 6 28 
8 12 57 
9 15 89 
10 42 176 
11 79 221 
12 104 258 
13 95 297 
14 130 294 
15 122 305 
16 118 340 
17 119 291 
18 75 250 
19 46 162 
20 22 77 
21 6 41 
22 3 19 
23 1 16 
24 1 16 
25 2 10 
26 4 21 
27 6 24 
28 13 65 
29 29 85 
30 40 176 
31 78 207 
32 104 266 
33 111 265 
34 99 322 
35 145 323 
36 118 311 
37 118 310 
38 70 261 
39 44 119 
40 18 64 
41 6 35 
42 1 20 
43 0 12 
44 0 8 
45 4 15 
46 6 18 
47 0 27 
48 14 52 
49 20 102 
50 41 154 
51 70 221 
52 109 261 
53 108 281 
54 112 288 
55 105 331 
56 117 350 
57 101 289 
58 70 260 
59 37 157 
60 17 55 
61 9 28 
62 3 23 
63 2 12 
64 1 8 
65 4 21 
66 3 14 
67 2 31 
68 9 50 
69 23 95 
70 44 150 
71 55 176 
72 93 259 
73 110 291 
74 104 312 
75 135 316 
76 118 296 
77 113 302 
78 85 228 
79 48 151 
80 13 60 
81 4 26 
82 2 23 
83 4 18 
84 0 16 
85 2 13 
86 2 22 
87 3 32 
88 11 60 
89 20 110 
90 47 153 
91 80 217 
92 75 242 
93 105 283 
94 102 286 
95 130 338 
96 128 299 
97 133 282 
98 91 347 
99 173 933 
100 2891 5782 
101 7624 12576 
102 10228 16373 
103 12021 19227 
104 13200 21432 
105 14659 23782 
106 17237 27372 
107 19466 31245 
108 19830 31759 
109 19694 32029 
110 19932 31848 
111 19886 31424 
112 19777 31019 
113 19929 31351 
114 20098 31146 
115 20046 31205 
116 20162 31232 
117 20130 31270 
118 20073 31377 
119 20098 31455 
120 19865 31541 
121 19738 31149 
122 19606 30753 
123 19279 30592 
124 19093 30638 
125 18998 30899 
126 19018 31331 
127 19199 31485 
128 19300 32152 
129 19522 32362 
130 19580 32326 
131 19579 32125 
132 19570 31311 
133 19721 31691 
134 19755 31727 
135 19763 31676 
136 19838 31700 
137 19862 31718 
138 19859 31704 
139 20007 31847 
