# Time-averaged data for fix writeFile
# TimeStep c_Tw c_Pw c_Kw v_locF v_locFUP c_wallTemp c_wallPE c_UPwallTemp c_UPwallPE
18400100 219.924 -627579 38735.3 -54.392 -89.6556 224.771 -1.19198e+06 217.756 -1.19049e+06
18400200 218.794 -627421 38536.4 109.835 -98.5945 219.734 -1.19192e+06 218.564 -1.19049e+06
18400300 220.271 -627690 38796.3 55.2605 -69.3214 221.232 -1.19192e+06 221.965 -1.19053e+06
18400400 220.653 -627772 38863.3 70.5575 -92.853 224.002 -1.19193e+06 215.967 -1.19048e+06
18400500 221.46 -627904 39005.7 -298.356 -134.205 215.108 -1.19188e+06 218.995 -1.1905e+06
18400600 220.293 -627731 38799.4 -110.528 42.8898 224.254 -1.19193e+06 223.408 -1.19055e+06
18400700 221.189 -627889 38957.1 -51.7918 87.6381 224.603 -1.19194e+06 223.465 -1.19055e+06
18400800 221.197 -627918 38958.8 79.725 -111.88 222.292 -1.19189e+06 219.395 -1.19052e+06
18400900 220.975 -627842 38920.2 -153.401 -119.286 217.828 -1.1919e+06 216.9 -1.1905e+06
18401000 221.2 -627877 38959.4 -74.2754 134.375 219.776 -1.19196e+06 225.609 -1.19053e+06
18401100 220.941 -627804 38914 58.592 52.7864 215.416 -1.1919e+06 218.708 -1.19052e+06
18401200 221.012 -627760 38926.5 -159.147 -251.404 213.159 -1.19192e+06 218.787 -1.19052e+06
18401300 220.907 -627778 38907.9 104.084 -74.6955 213.74 -1.19191e+06 221.079 -1.1905e+06
18401400 220.886 -627797 38903.8 -76.8557 -9.2997 222.766 -1.19194e+06 222.015 -1.19054e+06
18401500 220.823 -627781 38892.9 75.1098 -25.9967 219.03 -1.19191e+06 221.705 -1.19053e+06
18401600 221.132 -627837 38947.4 62.1106 -9.23004 218.499 -1.1919e+06 220.312 -1.19053e+06
18401700 220.85 -627775 38897.9 -217.978 -95.2371 224.549 -1.19197e+06 217.943 -1.19051e+06
18401800 220.98 -627790 38920.2 210.136 -152.078 216.794 -1.19192e+06 222.272 -1.19053e+06
18401900 220.402 -627717 38818.4 -114.084 -45.9535 221.116 -1.19193e+06 221.327 -1.19053e+06
18402000 219.823 -627608 38716.7 130.27 -4.37198 223.266 -1.19196e+06 220.292 -1.1905e+06
18402100 220.919 -627771 38909.7 76.4955 -26.978 220.576 -1.19196e+06 219.447 -1.19051e+06
18402200 221.045 -627832 38932 -110.024 -48.278 222.127 -1.19194e+06 220.565 -1.19051e+06
18402300 220.964 -627829 38918.2 8.55863 -76.003 218.954 -1.19192e+06 221.261 -1.19051e+06
18402400 220.63 -627721 38858.9 1.02182 -22.0106 222.271 -1.19193e+06 217.171 -1.19054e+06
18402500 221.284 -627866 38974.7 -130.939 -50.1429 219.182 -1.19191e+06 218.198 -1.19052e+06
18402600 221.32 -627846 38980.9 -51.8695 -27.2423 222.018 -1.19194e+06 218.031 -1.19053e+06
18402700 220.376 -627731 38814.2 145.003 10.7758 215.762 -1.19188e+06 220.403 -1.19051e+06
18402800 221.074 -627860 38937 -3.34488 -225.206 222.082 -1.19192e+06 219.592 -1.19051e+06
18402900 220.28 -627680 38797.5 7.97296 -73.4741 217.688 -1.1919e+06 215.664 -1.19049e+06
18403000 220.736 -627730 38877.4 87.6418 25.716 213.957 -1.19192e+06 221.001 -1.1905e+06
18403100 220.379 -627717 38814.5 47.8627 -35.776 221.129 -1.19193e+06 216.685 -1.19046e+06
18403200 220.655 -627778 38863.2 39.3334 177.741 222.791 -1.19192e+06 218.944 -1.19049e+06
18403300 220.075 -627623 38761.3 -110.78 -98.6687 223.29 -1.19196e+06 218.787 -1.1905e+06
18403400 220.043 -627595 38755.8 93.4922 170.435 219.139 -1.19191e+06 216.582 -1.19052e+06
18403500 220.486 -627709 38834.1 -11.6137 -179.121 222.297 -1.19193e+06 219.281 -1.19052e+06
18403600 221.049 -627815 38933.3 71.6216 -32.7075 224.684 -1.19196e+06 214.782 -1.19047e+06
18403700 219.967 -627692 38742.1 107.255 -49.8756 217.185 -1.19187e+06 224.457 -1.19052e+06
18403800 219.315 -627551 38627.2 -80.7745 25.5259 220.346 -1.19193e+06 220.051 -1.19049e+06
18403900 221.385 -627940 38991.8 -89.6133 -6.35587 215.963 -1.19187e+06 218.798 -1.19048e+06
18404000 220.252 -627700 38791.8 -79.376 -88.4796 220.031 -1.19194e+06 220.512 -1.19051e+06
18404100 220.389 -627715 38816.5 58.3507 95.7765 218.317 -1.19192e+06 222.372 -1.19053e+06
18404200 220.612 -627782 38855.9 2.38801 -52.3922 224.949 -1.19195e+06 223.167 -1.19053e+06
18404300 220.409 -627749 38820.5 57.7904 -74.5751 224.03 -1.19193e+06 219.891 -1.19051e+06
18404400 220.506 -627761 38837.2 -37.5718 67.7876 217.513 -1.19189e+06 219.132 -1.1905e+06
18404500 219.716 -627590 38698.1 -83.1575 43.4643 219.148 -1.19193e+06 220.82 -1.19051e+06
18404600 220.101 -627665 38766.5 -92.5841 8.3863 226.551 -1.19199e+06 217.144 -1.19048e+06
18404700 220.944 -627819 38915 103.256 -77.657 217.382 -1.19189e+06 219.794 -1.19053e+06
18404800 219.866 -627600 38724.6 -64.1135 -109.755 221.315 -1.19195e+06 219.684 -1.19053e+06
18404900 220.318 -627638 38804.1 -51.1311 57.0873 219.476 -1.19195e+06 217.255 -1.19052e+06
18405000 221.13 -627815 38947.5 -36.4144 -122.684 222.877 -1.19194e+06 220.924 -1.19054e+06
18405100 220.235 -627651 38789.9 -163.716 -15.5368 220.774 -1.19195e+06 221.546 -1.19054e+06
18405200 220.398 -627713 38818.7 -153.722 -280.748 218.503 -1.1919e+06 218.734 -1.19051e+06
18405300 220.484 -627686 38833.7 -41.7826 33.8623 223.883 -1.19196e+06 216.386 -1.19052e+06
18405400 219.974 -627610 38743.6 -10.3514 46.2512 217.342 -1.1919e+06 217.533 -1.1905e+06
18405500 219.779 -627558 38709.2 -32.8428 -68.1322 220.993 -1.19194e+06 218.011 -1.19051e+06
18405600 220.595 -627733 38852.9 -135.465 0.400372 219.514 -1.19193e+06 223.729 -1.19052e+06
18405700 220.746 -627795 38879.5 117.005 11.0369 219.44 -1.19189e+06 222.121 -1.19052e+06
18405800 220.249 -627656 38791.6 -48.6998 233.071 221.377 -1.19195e+06 222.91 -1.19054e+06
18405900 221.029 -627811 38929.1 -14.9204 -44.4552 219.176 -1.19191e+06 218.385 -1.19051e+06
18406000 220.395 -627685 38817.5 117.561 -6.97488 217.362 -1.19192e+06 220.338 -1.19051e+06
18406100 221.2 -627820 38959.2 145.482 73.9498 220.054 -1.19194e+06 223.69 -1.19053e+06
18406200 220.168 -627634 38778.3 -83.9429 85.1825 223.429 -1.19195e+06 220.597 -1.19053e+06
18406300 221.071 -627798 38936.6 77.2743 6.31373 214.845 -1.19187e+06 219.726 -1.19052e+06
18406400 220.71 -627713 38873.3 -26.7465 54.2931 219.936 -1.19194e+06 220.028 -1.19052e+06
18406500 220.454 -627704 38828.4 150.473 17.8655 221.694 -1.19195e+06 223.144 -1.19053e+06
18406600 220.83 -627802 38895.4 105.988 -37.4502 221.758 -1.1919e+06 221.009 -1.19054e+06
18406700 219.92 -627623 38735.3 -55.0205 -16.8377 221.271 -1.19194e+06 222.265 -1.19055e+06
18406800 219.769 -627629 38707.8 22.0111 156.313 220.369 -1.19192e+06 220.078 -1.19052e+06
18406900 220.966 -627825 38918.2 -24.218 -88.5901 219.314 -1.1919e+06 220.742 -1.19054e+06
18407000 220.782 -627726 38885.8 180.048 -111.813 221.639 -1.19196e+06 216.951 -1.19052e+06
18407100 220.557 -627758 38846.9 -78.6176 24.3534 222.205 -1.19193e+06 220.746 -1.19051e+06
