# frequency	amplitude	pressure
25	0	0
25	10	-155.5727649
25	12	-174.1624965
25	14	-192.1396107
25	16	-238.4802633
25	18	-242.1665
25	20	-259.0256862
25	8	-115.5682032
50	0	0
50	8	-117.0999735
50	10	-141.8934198
50	12	-167.49919
50	14	-192.9952748
50	16	-213.6450711
50	18	-235.5451152
50	20	-257.2413397
75	0	0
75	12	-169.2955139
75	14	-193.7883343
75	16	-220.6856003
75	18	-236.2765896
75	20	-258.8448329
100	0	0
100	12	-169.7084511
100	14	-194.0363788
100	16	-216.8411289
100	18	-243.0618464
100	20	-266.3466803
125	0	0
125	12	-171.9509056
125	14	-194.0112342
125	16	-219.6455621
125	18	-244.591802
125	20	-267.8271749
150	0	0
150	10	-145.6192290
150	12	-172.2242045
150	14	-197.2055003
150	16	-221.8545357
150	18	-246.5010093
150	20	-256.2984416
175	0	0
175	12	-172.5558212
175	14	-196.1205763
175	16	-221.9431981
175	18	-245.5412118
175	20	-270.2700741
200	0	0
200	10	-146.3783846
200	12	-173.4184619
200	14	-198.6616912
200	16	-222.7527527
200	18	-246.4626382
200	20	-263.5514841
225 	0	0
225	12	-173.0842931
225	14	-199.4556248
225	16	-222.9005116
225	18	-246.4869554
225	20	-262.7424318
250	0	0
250	10	-147.2863021
250	12	-174.7692759
250	14	-199.4960395
250	16	-222.9904626
250	18	-246.2558942
250	20	-259.8431377
275	0	0
275	12	-174.3760102
275	14	-200.1186239
275	16	-223.2187569
275	18	-247.609479
275	20	-267.5897103
300	0	0
300	10	-149.3946505
300	12	-174.2645188
300	14	-199.9237575
300	16	-223.7885213
300	18	-247.2635121
300	20	-262.454428
325	0	0
325	12	-174.5137645
325	14	-199.4315403
325	16	-223.8358456
325	18	-246.2692825
325	20	-264.9103191
335	0	0
335	12	-174.2137931
335	14	-199.9465663
335	16	-223.9769783
335	18	-245.8727829
335	20	-259.0858558
350	0	0
350	12	-174.1365258
350	14	-200.4258579
350	16	-224.0100113
350	18	-246.7852041
350	20	-265.1275983
400	0	0
400	12	-175.3450832
400	14	-199.5874027
400	16	-223.8227502
400	18	-244.8578475
400	20	-257.0035093
500	0	0
500	12	-173.1763102
500	14	-198.5677497
500	16	-222.0102272
500	18	-244.4067579
500	20	-262.6954938
600	0	0
600	12	-172.8209481
600	14	-197.2813154
600	16	-219.5028619
600	18	-242.3929899
600	20	-262.7399506
700	0	0
700	12	-170.2486514
700	14	-194.0720644
700	16	-217.0663522
700	18	-238.5798653
700	20	-258.1774868
800	0	0	
800	12	-168.784623491176
800 	14	-191.869917810171
800	16	-214.045631989951
800	18	-235.581439957362
800	20	-252.542173636659
342.5	0	0
342.5	12	-173.9259267
342.5	14	-198.9133227
342.5	16	-224.4403144
342.5	18	-245.8656679
342.5	20	-261.8403819
		
